Year,Branches,Performance_Score,Rank
2023,077 - Lodhran,272983186.0,1.0
2023,091 - Layyah,209572539.0,2.0
2023,135 - Sillanwali,186827846.0,3.0
2023,113 - Bhalwal,180775887.0,4.0
2023,203 - Nowshera,179547514.0,5.0
2024,077 - Lodhran,631160222.96,1.0
2024,006 - Gahkuch,507731478.18,2.0
2024,002 - Rawalpindi,444165600.44,3.0
2024,009 - Skardu,328343924.38,4.0
2024,013 - Gupis,307558473.14,5.0
2025,077 - Lodhran,631160222.96,1.0
2025,006 - Gahkuch,507731478.18,2.0
2025,002 - Rawalpindi,444165600.44,3.0
2025,009 - Skardu,328343924.38,4.0
2025,013 - Gupis,307558473.14,5.0
